Time,System - Processes executing in kernel mode,User - Normal processes executing in user mode,Nice - Niced processes executing in user mode,Iowait - Waiting for I/O to complete,Irq - Servicing interrupts,Softirq - Servicing softirqs,Steal - Time spent in other operating systems when running in a virtualized environment,Idle - Waiting for something to happen
0,1.14,5.52,0,0.0375,0.225,0.150,0,92.7
15,0.875,7.71,0,0,0.213,0.113,0,90.9
30,1.25,5.89,0,0.237,0.250,0.263,0,91.7
45,1.09,5.45,0,0.175,0.250,0.262,0,92.4
60,0.687,1.59,0,0.0125,0.188,0.113,0,97.2
75,1.04,3.76,0,0.150,0.225,0.187,0,94.4
90,1.85,10.3,0,0.312,0.413,0.350,0,86.1
105,1.81,11.9,0,0.400,0.425,0.375,0,84.5
120,2.09,13.4,0,0.387,0.488,0.375,0,82.6
135,2.64,17.0,0,0.475,0.625,0.512,0,77.9
150,2.82,18.2,0,0.637,0.625,0.525,0,76.2
165,3.35,22.8,0,0.750,0.687,0.638,0,70.7
180,5.25,38.5,0,1.32,1.14,1.000,0,50.2
195,6.51,49.5,0,1.66,1.11,1.16,0,37.4
210,0.813,2.28,0,0.0250,0.238,0.0625,0,96.3
225,0.975,3.72,0,0.113,0.225,0.200,0,94.6
240,4.08,27.7,0,1.26,0.825,0.775,0,63.5
255,0.763,2.64,0,0.0250,0.175,0.0625,0,96.1
270,10.7,77.0,0,0,0.875,1.11,0,8.40
285,10.5,77.9,0,0,0.825,1.14,0,8.09
300,10.6,75.8,0,0.0125,0.725,1.25,0,9.91
315,10.4,77.0,0,0,0.725,1.12,0,8.85
330,5.35,72.9,0,0,0.750,1.35,0,17.3
345,5.24,73.1,0,0.0125,0.775,1.21,0,17.4
