Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
0,0.179,0.314,0.501,,,,,,,,,,,,,,,
5,0.209,0.385,0.751,0.673,,,,,,,,,,,,,,
10,0.316,0.458,0.867,0.811,,,,,,,,,,,,,,
15,0.267,0.200,0.733,0.867,,,,,,,,,,,,,,
20,0.333,0.0667,0.600,0.667,,,,,,,,,,,,,,
25,0.267,0.667,1.00,0.600,,,,,,,,,,,,,,
30,0.333,2.14,4.60,1.33,,,,,,,,,,,,,,
35,0.267,3.26,8.73,2.40,,,,,,,,,,,,,,
40,0.333,4.43,12.4,3.47,,,,,,,,,,,,,,
45,0.267,4.53,12.7,3.73,,,,,,,,,,,,,,
50,0.267,4.47,12.6,3.60,,,,,,,,,,,,,,
55,0.267,3.87,12.3,3.73,,,,,,,,,,,,,,
60,0.333,2.47,9.00,3.07,,,,,,,,,,,,,,
65,0.333,1.07,5.00,2.13,,,,,,,,,,,,,,
70,0.267,2.00,1.20,0.933,,,,,,,,,,,,,,
75,0.267,7.27,13.9,3.80,,,,,,,,,,,,,,
80,0.267,12.7,28.4,8.53,,,,,,,,,,,,,,
85,0.333,16.3,43.1,13.4,,,,,,,,,,,,,,
90,0.267,16.3,44.5,14.9,,,,,,,,,,,,,,
95,0.267,16.0,44.3,14.9,,,,,,,,,,,,,,
100,0.200,14.1,44.5,15.1,,,,,,,,,,,,,,
105,0.267,8.93,32.0,12.2,,,,,,,,,,,,,,
110,0.267,3.80,17.7,7.53,,,,,,,,,,,,,,
115,0.333,0.267,2.80,2.47,,,,,,,,,,,,,,
120,0.333,6.67,5.93,1.60,,,,,,,,,,,,,,
125,0.333,16.3,32.3,9.27,,,,,,,,,,,,,,
130,0.267,26.1,57.3,18.2,,,,,,,,,,,,,,
135,0.200,29.3,77.5,26.3,,,,,,,,,,,,,,
140,0.267,29.5,76.5,27.5,,,,,,,,,,,,,,
145,0.333,29.2,76.4,27.5,,,,,,,,,,,,,,
150,0.333,23.7,72.6,26.7,,,,,,,,,,,,,,
155,0.333,13.9,47.6,19.5,,,,,,,,,,,,,,
160,0.267,4.27,22.5,10.5,,,,,,,,,,,,,,
165,0.333,1.40,1.000,2.33,,,,,,,,,,,,,,
170,0.267,10.3,16.9,4.27,,,,,,,,,,,,,,
