Time,Busy System,Busy User,Busy Iowait,Busy IRQs,Busy Other,Idle
0,0.813,1.35,0.0250,0.275,0,97.4
15,0.612,1.84,0,0.275,0,97.2
30,1.47,3.11,0.0875,0.413,0,94.7
45,1.00,8.09,0.0250,0.288,0,90.3
60,0.650,1.60,0.0250,0.275,0,97.2
75,1.03,3.66,0.0500,0.363,0,94.5
90,1.42,6.25,0.150,0.663,0,91.1
105,1.11,5.00,0.225,0.512,0,92.7
120,0.987,3.94,0.0375,0.525,0,94.2
135,0.663,2.11,0.0250,0.250,0,96.7
150,0.812,1.61,0.0125,0.238,0,97.0
165,1.21,4.80,0.187,0.487,0,93.0
180,1.79,11.1,0.337,0.900,0,85.1
195,1.75,11.5,0.412,0.912,0,84.7
210,2.11,12.2,0.500,0.925,0,83.2
225,2.39,14.9,0.550,1.08,0,80.0
240,2.88,18.4,0.762,1.23,0,75.5
255,4.66,31.7,0.937,1.85,0,59.2
270,8.16,54.6,1.57,2.85,0,30.2
285,8.29,55.4,1.42,2.71,0,30.3
300,0.863,2.66,0.0500,0.400,0,95.9
315,0.613,1.11,0.0250,0.262,0,97.7
330,5.85,38.0,1.37,2.04,0,50.9
345,3.76,25.1,0.913,1.44,0,67.3
360,0.675,1.59,0.0375,0.338,0,97.0
375,3.76,40.7,0.0250,1.52,0,52.1
390,9.87,75.9,0.0125,1.95,0,10.4
405,11.1,77.4,0.0250,1.88,0,7.96
420,10.4,77.7,0,1.98,0,8.30
435,10.4,77.4,0,1.90,0,8.55
450,9.89,76.0,0.0125,2.04,0,10.1
465,8.33,74.7,0,2.11,0,12.7
480,0.888,1.48,0.0375,0.288,0,97.1
495,1.90,2.86,0.162,0.325,0,94.5
