Time,Cumulative (Received),Cumulative (Endorsed Successfully),Cumulative (Committed Successfully)
0,1,1,
5,4,4,
10,7,7,
15,7,7,
20,7,7,
25,25,24,10
30,242,241,230
35,492,492,480
40,742,741,730
45,992,992,980
50,1242,1241,1230
55,1478,1478,1470
60,1511,1511,1504
65,1511,1511,1504
70,1511,1511,1504
75,2594,2594,2584
80,3844,3844,3834
85,5094,5094,5084
90,6344,6343,6324
95,7594,7594,7584
100,8844,8843,8834
105,9015,9015,9008
110,9015,9015,9008
115,9015,9015,9008
120,9385,9385,9368
125,11870,11870,11858
130,14370,14370,14358
135,16870,16870,16858
140,19370,19370,19358
145,21870,21870,21858
150,24000,24000,23988
155,24016,24016,24009
160,24016,24016,24009
165,24016,24016,24009
170,25393,25391,25379
175,27843,27842,27829
180,30284,30284,30269
185,32735,32735,32719
190,35175,35175,35159
195,37619,37619,37609
200,40063,40063,40049
205,42510,42510,42499
210,45058,45057,45039
215,47821,47821,47809
220,50606,50606,50589
225,53390,53389,53369
230,56168,56168,56149
235,58935,58934,58919
240,61691,61691,61679
245,64437,64435,64419
250,67202,67199,67179
255,70293,70289,70279
260,73428,73427,73409
265,76556,76554,76539
270,79717,79717,79699
275,82908,82907,82889
280,86087,86087,86069
285,89284,89283,89269
290,92469,92467,92449
295,97016,97013,96989
300,102293,102292,102269
305,107619,107618,107589
310,112982,112977,112959
315,118347,118347,118319
320,123721,123718,123699
325,129135,129134,129109
330,134459,134456,134429
335,139841,139840,139809
340,145236,145228,145209
345,150654,150648,150629
350,156049,156048,156019
355,161447,161444,161419
360,166830,166826,166799
365,172232,172231,172209
370,177612,177611,177579
375,183019,183015,182989
380,188389,188385,188359
385,193810,193810,193779
390,199201,199200,199169
395,204579,204575,204549
400,209960,209960,209929
405,215381,215380,215349
410,220841,220839,220809
415,226264,226262,226239
420,231695,231688,231669
425,237094,237092,237069
430,242526,242522,242499
435,247931,247930,247899
440,253352,253349,253319
445,258772,258768,258749
450,264129,264124,264099
455,269522,269522,269489
460,274605,274600,274579
465,279894,279889,279859
470,282938,282938,282929
475,282938,282938,282931
480,282938,282938,282931
485,282946,282946,282931
490,287330,287328,287301
495,292648,292644,292621
500,292938,292938,292931
505,292938,292938,292931
510,292938,292938,292931
515,292974,292938,292931
520,293026,292938,292931
525,293078,292938,292931
530,293130,292938,292931
535,293182,292938,292931
540,293238,292938,292931
545,293292,292938,292931
550,293348,292938,292931
555,293407,292938,292931
560,293464,292938,292931
565,293524,292938,292931
570,293586,292938,292931
575,293648,292938,292931
580,293712,292938,292931
585,293778,292938,292931
590,293842,292938,292931
595,293910,292938,292931
600,293980,292938,292931
605,294052,292938,292931
610,294124,292938,292931
615,294198,292938,292931
620,294274,292938,292931
625,294354,292938,292931
630,294434,292938,292931
635,294516,292938,292931
640,294600,292938,292931
645,294689,292938,292931
650,294778,292938,292931
655,294871,292938,292931
660,294967,292938,292931
665,295067,292938,292931
670,295168,292938,292931
675,295274,292938,292931
680,295384,292938,292931
685,295497,292938,292931
690,295616,292938,292931
695,295739,292938,292931
700,295866,292938,292931
705,296000,292938,292931
710,296141,292938,292931
715,296287,292938,292931
720,296442,292938,292931
725,296604,292938,292931
730,296776,292938,292931
735,296958,292938,292931
740,297153,292938,292931
745,297359,292938,292931
750,297582,292938,292931
755,297821,292938,292931
760,298083,292938,292931
765,298367,292938,292931
770,298682,292938,292931
775,299034,292938,292931
780,299433,292938,292931
785,299892,292938,292931
790,300434,292938,292931
795,300867,292938,292931
800,301182,292938,292931
805,301533,292938,292931
810,301933,292938,292931
815,302170,292938,292931
820,302170,292938,292931
825,302170,292938,292931
830,302170,292938,292931
835,302170,292938,292931
840,302170,292938,292931
845,302170,292938,292931
850,302170,292938,292931
855,302170,292938,292931
860,302170,292938,292931
