Time,recv eth0,recv lo,trans eth0 ,trans lo 
0,13.2 kb/s,0 b/s,26.1 kb/s,0 b/s
15,2.37 kb/s,0 b/s,25.9 kb/s,0 b/s
30,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
45,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
60,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
75,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
90,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
105,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
120,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
135,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
150,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
165,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
180,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
195,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
210,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
225,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
240,1.45 kb/s,0 b/s,26.1 kb/s,0 b/s
255,1.18 kb/s,0 b/s,25.9 kb/s,0 b/s
270,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
285,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
300,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
315,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
330,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
345,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
360,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
375,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
390,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
405,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
420,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
435,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
450,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
465,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
480,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
495,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
510,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
525,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
540,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
555,1.11 kb/s,0 b/s,26.2 kb/s,0 b/s
570,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
585,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
600,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
615,1.18 kb/s,0 b/s,26.2 kb/s,0 b/s
630,1.56 kb/s,0 b/s,26.1 kb/s,0 b/s
645,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
