Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
2,3,3,3,,,,,,,3,3,3,3,3,3,,
7,3,3,3,,,,,,,3,3,3,3,3,3,,
12,15,8,11,,,,,,,10,15,14,9,11,13,,
17,33,22,27,,,,,,,25,32,31,23,26,29,,
22,52,40,45,,,,,,,44,51,50,42,45,48,,
27,71,59,64,,,,,,,63,70,69,60,64,67,,
32,95,79,86,,,,,,,84,94,92,81,86,89,,
37,119,105,111,,,,,,,109,119,117,106,111,114,,
42,132,124,128,,,,,,,127,131,131,125,127,129,,
47,139,136,137,,,,,,,137,139,139,136,137,138,,
52,146,142,143,,,,,,,143,145,145,142,143,144,,
57,152,148,150,,,,,,,149,152,151,148,150,151,,
62,154,153,154,,,,,,,154,154,154,153,154,154,,
67,154,154,154,,,,,,,154,154,154,154,154,154,,
